,0
1590,S100b
1591,S1pr1
1592,S1pr3
1593,Saa1
1594,Saa3
1595,Sag
1596,Samd4
1597,Samd9l
1598,Samhd1
1599,Sat1
1600,Satb1
1601,Satb2
1602,Sbsn
1603,Sbspon
1604,Scara3
1605,Scara5
1606,Scd1
1607,Scd2
1608,Scg2
1609,Scg3
1610,Scin
1611,Scrg1
1612,Scube3
1613,Scx
1614,Sdc1
1615,Sdc3
1616,Sdc4
1617,Sdk2
1618,Sdpr
1619,Selenbp1
1620,Sema3a
1621,Sema3b
1622,Sema3c
1623,Sema3d
1624,Sema3e
1625,Sema5a
1626,Sema6a
1627,Sema6d
1628,Sema7a
1629,Sepp1
1630,Sept4
1631,Serinc5
1632,Serpina12
1633,Serpina1a
1634,Serpina1b
1635,Serpina1d
1636,Serpina3c
1637,Serpina3f
1638,Serpina3g
1639,Serpina3n
1640,Serpinb1a
1641,Serpine1
1642,Serpine2
1643,Serpinf1
1644,Serping1
1645,Sertad4
1646,Setbp1
1647,Sfn
1648,Sfrp1
1649,Sfrp2
1650,Sfrp4
1651,Sfrp5
1652,Sgk1
1653,Sgms2
1654,Sh3pxd2b
1655,Shisa2
1656,Shisa3
1657,Shisa4
1658,Shox2
1659,Shroom3
1660,Sik1
1661,Six1
1662,Six2
1663,Skil
1664,Slc12a2
1665,Slc13a5
1666,Slc16a2
1667,Slc16a3
1668,Slc16a9
1669,Slc1a3
1670,Slc1a5
1671,Slc20a1
1672,Slc20a2
1673,Slc24a5
1674,Slc26a2
1675,Slc26a7
1676,Slc2a1
1677,Slc2a3
1678,Slc36a2
1679,Slc38a1
